flightID,VN310,VN150
flight_type,Cargo,Passenger
forward_visibility,310,249
horizontal_visibility,6000,6000
crosswind,5,2
tailwind,5,1
temperature,30,-100
thunderstorm,3,6
pilot_name,Jonh,Tung
flight_hours,5000,3500
hours_in_command,2000,1500
license_type,ATPL,ATPL
license_expiry_date,12/31/2027,12/31/2028
english_level,4,4
health_status,2,2
fuel,90000,90000
engine_status,1,1
fuel_consumption_rate,5400,5800
speed_val,903,903
model,boeing787,airbusa350
capacity,300,0
passenger_number,0,90
departure_code,HPH,HAN
arrival_code,SGN,SGN
